id,STATE,Demographic,Total population,Total citizen population,Total registered,Percent registered (Total),Percent registered (Citizen),Total voted in 2018 elections,Percent voted (Total),Percent voted (Citizen)
519,VIRGINIA,Male,3051,2724,1958,64,72,1578,52,58
520,VIRGINIA,Female,3335,3049,2201,66,72,1742,52,57
521,VIRGINIA,White alone,4496,4094,3065,68,75,2412,54,59
522,VIRGINIA,White non0Hispanic alone,3874,3808,2924,76,77,2314,60,61
523,VIRGINIA,0lack alone,1198,1130,754,63,67,637,53,56
524,VIRGINIA,Asian alone,510,368,226,44,61,169,33,46
525,VIRGINIA,Hispanic (of any race),669,324,159,24,49,112,17,35
526,VIRGINIA,White alone or in com0ination,4617,4215,3156,68,75,2490,54,59
527,VIRGINIA,0lack alone or in com0ination,1258,1190,786,63,66,664,53,56
528,VIRGINIA,Asian alone or in com0ination,587,445,286,49,64,224,38,50
529,WASHINGTON,Total,5775,5228,3852,67,74,3234,56,62
530,WASHINGTON,Male,2869,2590,1861,65,72,1541,54,60
531,WASHINGTON,Female,2906,2638,1991,69,76,1693,58,64
532,WASHINGTON,White alone,4663,4314,3219,69,75,2736,59,63
533,WASHINGTON,White non0Hispanic alone,3995,3905,2983,75,76,2558,64,66
534,WASHINGTON,0lack alone,232,232,155,67,67,103,44,44
535,WASHINGTON,Asian alone,530,356,262,49,73,224,42,63
536,WASHINGTON,Hispanic (of any race),736,468,267,36,57,204,28,44
537,WASHINGTON,White alone or in com0ination,4792,4434,3321,69,75,2816,59,64
538,WASHINGTON,0lack alone or in com0ination,255,255,175,68,68,117,46,46
539,WASHINGTON,Asian alone or in com0ination,559,386,287,51,75,237,42,62
540,WEST VIRGINIA,Total,1406,1384,892,63,65,610,43,44
541,WEST VIRGINIA,Male,685,674,423,62,63,294,43,44
542,WEST VIRGINIA,Female,721,710,470,65,66,316,44,45
543,WEST VIRGINIA,White alone,1312,1303,856,65,66,585,45,45
544,WEST VIRGINIA,White non0Hispanic alone,1291,1286,847,66,66,582,45,45
545,WEST VIRGINIA,0lack alone,49,47,19,0,0,12,0,0
546,WEST VIRGINIA,Asian alone,17,6,4,0,0,3,0,0
547,WEST VIRGINIA,Hispanic (of any race),24,20,10,0,0,4,0,0
548,WEST VIRGINIA,White alone or in com0ination,1334,1324,867,65,66,594,45,45
549,WEST VIRGINIA,0lack alone or in com0ination,64,63,29,0,0,19,0,0
550,WEST VIRGINIA,Asian alone or in com0ination,19,7,5,0,0,4,0,0
551,WISCONSIN,Total,4436,4296,3129,71,73,2776,63,65
552,WISCONSIN,Male,2186,2105,1519,70,72,1328,61,63
553,WISCONSIN,Female,2250,2191,1610,72,74,1448,64,66
554,WISCONSIN,White alone,3948,3865,2883,73,75,2574,65,67
555,WISCONSIN,White non0Hispanic alone,3782,3759,2815,75,75,2514,67,67
556,WISCONSIN,0lack alone,264,239,137,52,57,110,42,46
557,WISCONSIN,Asian alone,89,79,52,59,66,52,59,66
558,WISCONSIN,Hispanic (of any race),232,142,91,39,64,84,36,59
559,WISCONSIN,White alone or in com0ination,4015,3932,2923,73,74,2599,65,66
560,WISCONSIN,0lack alone or in com0ination,313,266,159,51,60,123,39,46
561,WISCONSIN,Asian alone or in com0ination,94,84,57,61,68,57,61,68
562,WYOMING,Total,430,422,268,62,64,220,51,52
563,WYOMING,Male,216,212,134,62,63,107,50,51
564,WYOMING,Female,214,210,135,63,64,113,53,54
565,WYOMING,White alone,408,402,259,64,65,214,53,53
566,WYOMING,White non0Hispanic alone,369,368,244,66,66,202,55,55
567,WYOMING,0lack alone,5,4,3,0,0,2,0,0
568,WYOMING,Asian alone,3,1,0,0,0,0,0,0
569,WYOMING,Hispanic (of any race),41,37,16,0,0,13,0,0
570,WYOMING,White alone or in com0ination,410,405,261,64,64,216,53,53
571,WYOMING,0lack alone or in com0ination,6,5,3,0,0,2,0,0
572,WYOMING,Asian alone or in com0ination,3,1,0,0,0,0,0,0
